1,MOROCCO  0,MOROCCO,AFRICA,
2,JORDAN   1,JORDAN,MIDDLE EAST,
3,ARGENTINA7,ARGENTINA,AMERICA,
4,EGYPT    4,EGYPT,MIDDLE EAST,
5,CANADA   5,CANADA,AMERICA,
6,SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,
7,CHINA    0,CHINA,ASIA,
8,PERU     6,PERU,AMERICA,
9,INDIA    6,INDIA,ASIA,
10,ETHIOPIA 9,ETHIOPIA,AFRICA,
11,UNITED KI3,UNITED KINGDOM,EUROPE,
12,JORDAN   5,JORDAN,MIDDLE EAST,
13,CANADA   8,CANADA,AMERICA,
14,ARGENTINA0,ARGENTINA,AMERICA,
15,UNITED KI0,UNITED KINGDOM,EUROPE,
16,IRAN     5,IRAN,MIDDLE EAST,
17,BRAZIL   6,BRAZIL,AMERICA,
18,FRANCE   0,FRANCE,EUROPE,
19,CHINA    3,CHINA,ASIA,
20,RUSSIA   0,RUSSIA,EUROPE,
21,INDIA    4,INDIA,ASIA,
22,CANADA   6,CANADA,AMERICA,
23,CANADA   5,CANADA,AMERICA,
24,JORDAN   9,JORDAN,MIDDLE EAST,
25,JAPAN    8,JAPAN,ASIA,
26,RUSSIA   5,RUSSIA,EUROPE,
27,CANADA   0,CANADA,AMERICA,
28,INDIA    6,INDIA,ASIA,
29,ALGERIA  4,ALGERIA,AFRICA,
30,ARGENTINA7,ARGENTINA,AMERICA,
31,UNITED KI9,UNITED KINGDOM,EUROPE,
32,MOROCCO  7,MOROCCO,AFRICA,
33,PERU     2,PERU,AMERICA,
34,MOROCCO  0,MOROCCO,AFRICA,
35,PERU     7,PERU,AMERICA,
36,VIETNAM  3,VIETNAM,ASIA,
37,INDIA    6,INDIA,ASIA,
38,JAPAN    7,JAPAN,ASIA,
39,BRAZIL   9,BRAZIL,AMERICA,
40,CANADA   3,CANADA,AMERICA,
41,IRAN     2,IRAN,MIDDLE EAST,
42,ETHIOPIA 9,ETHIOPIA,AFRICA,
43,ROMANIA  7,ROMANIA,EUROPE,
44,MOZAMBIQU7,MOZAMBIQUE,AFRICA,
45,INDONESIA6,INDONESIA,ASIA,
46,FRANCE   0,FRANCE,EUROPE,
47,BRAZIL   6,BRAZIL,AMERICA,
48,ALGERIA  8,ALGERIA,AFRICA,
49,IRAN     2,IRAN,MIDDLE EAST,
50,FRANCE   4,FRANCE,EUROPE,
51,JAPAN    7,JAPAN,ASIA,
52,IRAQ     4,IRAQ,MIDDLE EAST,
53,MOROCCO  2,MOROCCO,AFRICA,
54,EGYPT    2,EGYPT,MIDDLE EAST,
55,IRAN     3,IRAN,MIDDLE EAST,
56,IRAN     1,IRAN,MIDDLE EAST,
57,VIETNAM  4,VIETNAM,ASIA,
58,JORDAN   8,JORDAN,MIDDLE EAST,
59,ARGENTINA9,ARGENTINA,AMERICA,
60,JAPAN    0,JAPAN,ASIA,
61,PERU     9,PERU,AMERICA,
62,GERMANY  5,GERMANY,EUROPE,
63,VIETNAM  5,VIETNAM,ASIA,
64,CANADA   3,CANADA,AMERICA,
65,UNITED KI9,UNITED KINGDOM,EUROPE,
66,RUSSIA   4,RUSSIA,EUROPE,
